"PER_ID";"PER_TITEL";"PER_VOORNAMEN";"PER_TUSSENVOEGSELS";"PER_ACHTERNAAM";"SCHRIJVER";"GEBOORTEDATUM";"GEBOORTEPLAATS";"STERFDATUM";"STERFPLAATS"
"161934";"";"Jacqueline";"";"Woodson";"Jacqueline Woodson";"12-02-1963";"Columbus";"";""
"162139";"";"Trijnie";"";"Bazen";"Trijnie Bazen";"";"";"Tussen 01-07-2013 en 31-07-2013";""
"158608";"";"Peter";"";"Buwalda";"Peter Buwalda";"30-12-1971";"Brussel";"";""
"160367";"";"Willem";"de";"Galan";"Willem de Galan";"01-08-1928";"Zaandam";"10-08-2016";"Naarden"
"5574";"";"Theo";"";"Engelen";"Theo Engelen";"19-10-1950";"Geulle";"";""
"160470";"";"Gijs";"";"Groenteman";"Gijs Groenteman";"Tussen 01-01-1974 en 31-12-1974";"";"";""
"162511";"";"R.E.";"";"Abraham";"R.E. Abraham";"13-05-1937";"Wenen";"26-11-2015";""
"163608";"";"Y.W.M.";"";"Benschop";"Y.W.M. Benschop";"Tussen 01-01-1966 en 31-12-1966";"";"";""
"20322";"";"Bartho";"";"Kriek";"Bartho Kriek";"21-06-1950";"";"";""
"159203";"";"C.";"van";"Nispen tot Sevenaer";"C. van Nispen tot Sevenaer";"31-07-1928";"Den Bosch ('s-Hertogenbosch)";"";""
"204722";"";"Hallgrímur";"";"Helgason";"Hallgrímur Helgason";"18-02-1959";"Reykjavik";"";""
"204754";"";"";"";"Louise B.B.";"Louise B.B.";"Tussen 01-01-1859 en 31-12-1859";"";"Tussen 01-01-1913 en 31-12-1913";""
"162996";"";"Frank";"Van der";"Auwera";"Frank Van der Auwera";"Tussen 01-01-1954 en 31-12-1954";"";"";""
"163049";"";"Ingrid";"";"Baart";"Ingrid Baart";"31-03-1952";"Hulst";"18-01-2012";"Utrecht"
"235854";"";"gido";"van";"schijndel";"gido van schijndel";"18-06-1981";"";"";""
"110665";"";"Jan";"";"Bontje";"Jan Bontje";"15-08-1947";"Rotterdam";"";""
"8878";"";"Wiecher";"";"Hulst";"Wiecher Hulst";"19-07-1937";"";"";""
"164788";"";"P.L.P.";"";"Brand";"P.L.P. Brand";"Tussen 01-01-1961 en 31-12-1961";"Haren";"";""
